"property";"value"
"version";"1.1.16"
"build";"1011602"
"fileFormat";"1.18"
"deviceModel";"CPH2569"
"deviceBrand";"OnePlus"
"deviceBoard";"lahaina"
"deviceManufacturer";"OnePlus"
"deviceBaseOS";"OnePlus/CPH2569/OP5953L1:14/UKQ1.230924.001/T.R4T2.1b6d52b_1-5bf41:user/release-keys"
"deviceCodename";"REL"
"deviceRelease";"14"
"depthFrontSensor";"0"
"depthFrontResolution";"null"
"depthFrontRate";"null"
"depthBackSensor";"0"
"depthBackResolution";"null"
"depthBackRate";"null"
"accelerometer Name";"icm4x6xx Accelerometer Non-wakeup"
"accelerometer Vendor";"TDK-Invensense"
"accelerometer Range";"156.9064"
"accelerometer Resolution";"0.0047884034"
"accelerometer MinDelay";"2000"
"accelerometer MaxDelay";"1000000"
"accelerometer Power";"0.24"
"accelerometer Version";"309"
"linear_acceleration Name";"linear_acceleration"
"linear_acceleration Vendor";"qualcomm"
"linear_acceleration Range";"156.91"
"linear_acceleration Resolution";"0.01"
"linear_acceleration MinDelay";"5000"
"linear_acceleration MaxDelay";"200000"
"linear_acceleration Power";"0.515"
"linear_acceleration Version";"1"
"gravity Name";"gravity  Non-wakeup"
"gravity Vendor";"qualcomm"
"gravity Range";"156.91"
"gravity Resolution";"0.01"
"gravity MinDelay";"5000"
"gravity MaxDelay";"200000"
"gravity Power";"0.515"
"gravity Version";"1"
"gyroscope Name";"icm4x6xx Gyroscope Non-wakeup"
"gyroscope Vendor";"TDK-Invensense"
"gyroscope Range";"34.90656"
"gyroscope Resolution";"0.0010652636"
"gyroscope MinDelay";"2000"
"gyroscope MaxDelay";"1000000"
"gyroscope Power";"0.57"
"gyroscope Version";"309"
"magnetic_field Name";"mxg4300 Magnetometer Non-wakeup"
"magnetic_field Vendor";"haechitech"
"magnetic_field Range";"4914.0"
"magnetic_field Resolution";"0.15"
"magnetic_field MinDelay";"10000"
"magnetic_field MaxDelay";"1000000"
"magnetic_field Power";"1.2"
"magnetic_field Version";"66048"
"pressure Name";"null"
"pressure Vendor";"null"
"pressure Range";"null"
"pressure Resolution";"null"
"pressure MinDelay";"null"
"pressure MaxDelay";"null"
"pressure Power";"null"
"pressure Version";"null"
"light Name";"OPLUS Fusion Light Sensor"
"light Vendor";"OPLUS"
"light Range";"65535.0"
"light Resolution";"1.0"
"light MinDelay";"0"
"light MaxDelay";"0"
"light Power";"2.01"
"light Version";"1"
"proximity Name";"stk32600 Proximity Sensor Wakeup"
"proximity Vendor";"oplus"
"proximity Range";"5.0"
"proximity Resolution";"1.0"
"proximity MinDelay";"0"
"proximity MaxDelay";"0"
"proximity Power";"0.1"
"proximity Version";"205"
"temperature Name";"null"
"temperature Vendor";"null"
"temperature Range";"null"
"temperature Resolution";"null"
"temperature MinDelay";"null"
"temperature MaxDelay";"null"
"temperature Power";"null"
"temperature Version";"null"
"humidity Name";"null"
"humidity Vendor";"null"
"humidity Range";"null"
"humidity Resolution";"null"
"humidity MinDelay";"null"
"humidity MaxDelay";"null"
"humidity Power";"null"
"humidity Version";"null"
"attitude Name";"Rotation Vector  Non-wakeup"
"attitude Vendor";"qualcomm"
"attitude Range";"1.0"
"attitude Resolution";"0.01"
"attitude MinDelay";"5000"
"attitude MaxDelay";"200000"
"attitude Power";"1.415"
"attitude Version";"1"
