"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1749937657.190;"2025-06-14 23:47:37.190 UTC+02:00"
"PAUSE";2.486633067E2;1749937905.854;"2025-06-14 23:51:45.854 UTC+02:00"
"START";2.486633067E2;1749938118.075;"2025-06-14 23:55:18.075 UTC+02:00"
"PAUSE";2.511712415E2;1749938120.583;"2025-06-14 23:55:20.583 UTC+02:00"
"START";2.511712415E2;1749938122.944;"2025-06-14 23:55:22.944 UTC+02:00"
"PAUSE";4.874619628E2;1749938359.235;"2025-06-14 23:59:19.235 UTC+02:00"
"START";4.874619628E2;1749938382.611;"2025-06-14 23:59:42.611 UTC+02:00"
"PAUSE";5.420238462E2;1749938437.173;"2025-06-15 00:00:37.173 UTC+02:00"
"START";5.420238462E2;1749938631.401;"2025-06-15 00:03:51.401 UTC+02:00"
"PAUSE";7.166806453E2;1749938806.058;"2025-06-15 00:06:46.058 UTC+02:00"
"START";7.166806453E2;1749938960.665;"2025-06-15 00:09:20.665 UTC+02:00"
"PAUSE";1.144238185E3;1749939388.223;"2025-06-15 00:16:28.223 UTC+02:00"
"START";1.144238185E3;1749939443.322;"2025-06-15 00:17:23.322 UTC+02:00"
"PAUSE";1.677029534E3;1749939976.114;"2025-06-15 00:26:16.114 UTC+02:00"
"START";1.677029534E3;1749940118.153;"2025-06-15 00:28:38.153 UTC+02:00"
"PAUSE";2.280540959E3;1749940721.665;"2025-06-15 00:38:41.665 UTC+02:00"
